id,title,views,like_count
166,About the Newsletter category,1244,0
42367,The Bullhorn #184,257,2
42032,The Bullhorn #183,191,3
41853,The Bullhorn #182,214,1
41718,The Bullhorn #181,485,1
41578,The Bullhorn #180,286,2
41401,The Bullhorn #179,340,5
41287,The Bullhorn #178,171,2
41093,The Bullhorn #177,240,4
40947,The Bullhorn #176,267,2
40751,The Bullhorn #175 - Ansible Newsletter,314,8
40592,The Bullhorn #174 - Ansible Newsletter,245,3
40277,The Bullhorn #173 - Ansible Newsletter,295,4
40122,The Bullhorn #172 - Ansible Newsletter,239,3
39947,The Bullhorn #171 - Ansible Newsletter,241,3
39813,The Bullhorn #170 - Ansible Newsletter,257,5
39677,The Bullhorn #169 - Ansible Newsletter,242,4
39548,The Bullhorn #168 - Ansible Newsletter,259,4
39271,The Bullhorn #167 - Ansible Newsletter,318,3
39145,The Bullhorn #166 - Ansible Newsletter,270,4
38961,The Bullhorn #165 - Ansible Newsletter,243,4
11278,The Bullhorn #164 - Ansible Newsletter,233,3
11071,The Bullhorn #163 - Ansible Newsletter,248,6
10939,The Bullhorn #162 - Ansible Newsletter,313,5
10830,The Bullhorn #161 - Ansible Newsletter,236,5
10637,The Bullhorn #160 - Ansible Newsletter,239,3
10513,The Bullhorn #159 - Ansible Newsletter,226,4
10406,The Bullhorn #158 - Ansible Newsletter,345,4
10196,The Bullhorn #157 - Ansible Newsletter,273,5
9846,The Bullhorn #156 - Ansible Newsletter,182,5
8837,The Bullhorn #155,119,5
8658,The Bullhorn #154,253,5
8496,The Bullhorn #153,264,5
8298,The Bullhorn #152,237,5
8190,The Bullhorn #151,237,5
8101,The Bullhorn #150,377,5
7907,The Bullhorn #149,241,5
7771,The Bullhorn #148,276,2
7614,The Bullhorn #147,269,3
7359,The Bullhorn #146,267,2
7281,The Bullhorn #145,236,3
7089,The Bullhorn #144,553,3
6832,The Bullhorn #143,1420,6
6528,The Bullhorn #142,833,8
6279,The Bullhorn #141,418,6
6109,The Bullhorn #140,266,9
6020,The Bullhorn #139,428,5
5859,The Bullhorn #138,435,4
5730,The Bullhorn #137,407,4
5194,The Bullhorn #136,445,4
4935,The Bullhorn #135,461,4
4631,The Bullhorn #134,747,3
4548,The Bullhorn #133,229,4
4402,The Bullhorn #132,311,3
4256,The Bullhorn #131,212,4
3959,The Bullhorn #130,287,4
3597,The Bullhorn #129,264,5
3488,The Bullhorn #128,252,4
3334,The Bullhorn #127,331,3
3076,The Bullhorn #126,322,3
2960,The Bullhorn #125,297,2
2847,The Bullhorn #124,498,1
2568,The Bullhorn #123,1026,1
2328,The Bullhorn #122,256,2
2163,The Bullhorn #121,231,5
1858,The Bullhorn #120,366,3
1510,The Bullhorn #119,434,4
1210,The Bullhorn #118,411,2
1148,The Bullhorn #117,259,3
844,The Bullhorn #116,297,7
333,The Bullhorn #115,314,2
247,The Bullhorn #114,280,3
168,The Bullhorn #113,320,0
